127.0.0.1_29001 -> 12:49:05.622971 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.653222 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.684523 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.714985 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.745375 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.776611 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.807258 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.838194 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.868326 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.899434 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.929695 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.960844 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.990223 raft.go:590: REQUEST FROM CLIENT, INDEX 1
127.0.0.1_29001 -> 12:49:05.990279 raft.go:433: NUEVA REQUEST representante de nodo 1
127.0.0.1_29001 -> 12:49:05.990340 raft.go:433: NUEVA REQUEST representante de nodo 2
127.0.0.1_29001 -> 12:49:06.052087 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.052087 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.114104 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.114191 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.175067 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.175341 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.236097 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.236172 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.298153 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.298178 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.359627 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.359733 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.420971 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.421077 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.482937 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:06.483058 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:06.544504 raft.go:442: TICKER representante de nodo 2
